Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cellular response to peptide hormone stimulus (GO:0071375)	1/106	1.742597e-01	2.260096e-01	0	0	5.403810e+00	9.441582e+00	NR4A2
GO_Biological_Process_2021	positive regulation of protein serine/threonine kinase activity (GO:0071902)	1/106	1.742597e-01	2.260096e-01	0	0	5.403810e+00	9.441582e+00	LRRK2
GO_Biological_Process_2021	protein localization to nucleus (GO:0034504)	1/106	1.742597e-01	2.260096e-01	0	0	5.403810e+00	9.441582e+00	APPL1
GO_Biological_Process_2021	regulation of protein ubiquitination (GO:0031396)	1/109	1.787346e-01	2.297249e-01	0	0	5.252910e+00	9.044741e+00	LRRK2
GO_Biological_Process_2021	lipid transport (GO:0006869)	1/109	1.787346e-01	2.297249e-01	0	0	5.252910e+00	9.044741e+00	ABCC3
GO_Biological_Process_2021	modulation of chemical synaptic transmission (GO:0050804)	1/109	1.787346e-01	2.297249e-01	0	0	5.252910e+00	9.044741e+00	LRRK2
GO_Biological_Process_2021	regulation of protein kinase activity (GO:0045859)	1/110	1.802209e-01	2.309418e-01	0	0	5.204456e+00	8.918209e+00	DEPTOR
GO_Biological_Process_2021	regulation of Wnt signaling pathway (GO:0030111)	1/111	1.817047e-01	2.314572e-01	0	0	5.156883e+00	8.794406e+00	LRRK2
GO_Biological_Process_2021	cellular divalent inorganic cation homeostasis (GO:0072503)	1/111	1.817047e-01	2.314572e-01	0	0	5.156883e+00	8.794406e+00	CDH5
GO_Biological_Process_2021	regulation of macroautophagy (GO:0016241)	1/112	1.831859e-01	2.326515e-01	0	0	5.110167e+00	8.673252e+00	LRRK2
GO_Biological_Process_2021	positive regulation of cellular component organization (GO:0051130)	1/114	1.861403e-01	2.350090e-01	0	0	5.019216e+00	8.438579e+00	CDH5
GO_Biological_Process_2021	response to lipid (GO:0033993)	1/114	1.861403e-01	2.350090e-01	0	0	5.019216e+00	8.438579e+00	SPP1
GO_Biological_Process_2021	regulation of protein-containing complex assembly (GO:0043254)	1/116	1.890844e-01	2.373259e-01	0	0	4.931429e+00	8.213598e+00	CDH5
GO_Biological_Process_2021	positive regulation of angiogenesis (GO:0045766)	1/116	1.890844e-01	2.373259e-01	0	0	4.931429e+00	8.213598e+00	CDH5
GO_Biological_Process_2021	negative regulation of response to external stimulus (GO:0032102)	1/118	1.920182e-01	2.389063e-01	0	0	4.846642e+00	7.997761e+00	CDH5
GO_Biological_Process_2021	positive regulation of protein-containing complex assembly (GO:0031334)	1/118	1.920182e-01	2.389063e-01	0	0	4.846642e+00	7.997761e+00	CDH5
GO_Biological_Process_2021	regulation of protein binding (GO:0043393)	1/118	1.920182e-01	2.389063e-01	0	0	4.846642e+00	7.997761e+00	LRRK2
GO_Biological_Process_2021	cytoskeleton organization (GO:0007010)	1/120	1.949416e-01	2.418406e-01	0	0	4.764706e+00	7.790558e+00	EPB41L3
GO_Biological_Process_2021	potassium ion transport (GO:0006813)	1/122	1.978547e-01	2.447451e-01	0	0	4.685478e+00	7.591516e+00	KCNJ8
GO_Biological_Process_2021	regulation of anatomical structure morphogenesis (GO:0022603)	1/123	1.993074e-01	2.451252e-01	0	0	4.646838e+00	7.494917e+00	LRRK2
GO_Biological_Process_2021	cellular response to organic substance (GO:0071310)	1/123	1.993074e-01	2.451252e-01	0	0	4.646838e+00	7.494917e+00	LRRK2
GO_Biological_Process_2021	cellular response to oxidative stress (GO:0034599)	1/125	2.022052e-01	2.472681e-01	0	0	4.571429e+00	7.307301e+00	LRRK2
GO_Biological_Process_2021	regulation of phosphorylation (GO:0042325)	1/125	2.022052e-01	2.472681e-01	0	0	4.571429e+00	7.307301e+00	CDH5
GO_Biological_Process_2021	synapse organization (GO:0050808)	1/126	2.036503e-01	2.476202e-01	0	0	4.534629e+00	7.216186e+00	LRRK2
GO_Biological_Process_2021	circulatory system development (GO:0072359)	1/126	2.036503e-01	2.476202e-01	0	0	4.534629e+00	7.216186e+00	CDH5
GO_Biological_Process_2021	regulation of response to external stimulus (GO:0032101)	1/130	2.094051e-01	2.517567e-01	0	0	4.393134e+00	6.868597e+00	APPL1
GO_Biological_Process_2021	positive regulation of canonical Wnt signaling pathway (GO:0090263)	1/130	2.094051e-01	2.517567e-01	0	0	4.393134e+00	6.868597e+00	LRRK2
GO_Biological_Process_2021	Golgi organization (GO:0007030)	1/130	2.094051e-01	2.517567e-01	0	0	4.393134e+00	6.868597e+00	LRRK2
GO_Biological_Process_2021	protein glycosylation (GO:0006486)	1/130	2.094051e-01	2.517567e-01	0	0	4.393134e+00	6.868597e+00	EOGT
GO_Biological_Process_2021	cellular response to metal ion (GO:0071248)	1/131	2.108375e-01	2.527688e-01	0	0	4.359121e+00	6.785702e+00	LRRK2
GO_Biological_Process_2021	regulation of cell motility (GO:2000145)	1/133	2.136947e-01	2.554786e-01	0	0	4.292641e+00	6.624433e+00	ROBO4
GO_Biological_Process_2021	protein localization to plasma membrane (GO:0072659)	1/136	2.179616e-01	2.591322e-01	0	0	4.196614e+00	6.393274e+00	EPB41L3
